filename,yuri_norm
2131_77090,0.15789473684210525
2131_82072,0.22991689750692523
2138_77304,0.06509695290858725
2138_81005,0.05817174515235457
2138_86516,0.06509695290858725
2138_90034,0.09556786703601108
2141_77452,0.0013850415512465242
2152_77900,0.020775623268698057
2152_79067,0.013850415512465353
2152_80684,0.06786703601108034
2152_82625,0.03601108033240996
2152_86579,0.01939058171745152
2152_89132,0.027700831024930747
2152_92927,0.029085872576177285
2152_97205,0.06371191135734072
2152_106047,0.013850415512465353
2152_109918,0.054016620498614956
2152_112766,0.0
2152_112870,0.054016620498614956
2152_113497,0.2146814404432133
2152_114477,0.03047091412742381
2152_115107,0.05678670360110803
2152_117475,0.054016620498614956
2152_119565,0.06232686980609417
2152_128293,0.05124653739612188
2152_131798,0.04986149584487533
2152_137195,0.03185595567867035
2152_139562,0.07894736842105263
2152_141783,0.19529085872576174
2152_145859,0.06509695290858725
2152_159173,0.16204986149584488
2235_81534,0.18005540166204986
2235_90022,0.19529085872576174
2255_82490,0.09279778393351801
2255_87549,0.07894736842105263
2255_91205,0.041551246537396114
2255_94086,0.13573407202216067
2255_97803,0.16066481994459833
2255_98786,0.0817174515235457
2255_99805,0.09141274238227147
2255_100338,0.09002770083102493
2255_100339,0.10803324099722991
2255_102172,0.1149584487534626
2255_104473,0.1966759002770083
2255_104788,0.06509695290858725
2255_108413,0.16481994459833793
2255_110452,0.03047091412742381
2255_110545,0.15512465373961218
2255_114032,0.1038781163434903
2255_120784,0.13157894736842105
2255_120785,0.12326869806094182
2255_129283,0.14404432132963987
2255_142921,0.15789473684210525
2255_144017,0.12049861495844874
2255_149789,0.03047091412742381
2255_154587,0.12049861495844874
2255_160649,0.08033240997229918
2255_165709,0.11634349030470914
2258_82574,0.08448753462603878
2258_86246,0.03601108033240996
2258_86255,0.06925207756232687
2258_164542,0.0595567867036011
2258_164551,0.03878116343490305
2258_164560,0.033240997229916885
2258_164661,0.0373961218836565
2258_164670,0.04432132963988919
2291_84182,0.34072022160664817
2291_106328,0.25346260387811637
2300_84761,0.07894736842105263
2306_84905,0.1814404432132964
2306_98863,0.18975069252077564
2306_98864,0.14265927977839332
2314_85321,0.0886426592797784
2314_91290,0.11772853185595568
2314_91365,0.12049861495844874
2314_97462,0.10526315789473684
2367_87720,0.09279778393351801
2367_87736,0.09695290858725762
2367_90830,0.10110803324099722
2367_93911,0.20221606648199444
2367_97745,0.09695290858725762
2367_109978,0.0886426592797784
2367_117201,0.1329639889196676
2367_128760,0.18005540166204986
2367_133856,0.08448753462603878
2410_89519,0.054016620498614956
2410_97497,0.05817174515235457
2410_110426,0.047091412742382266
2418_89871,0.14404432132963987
2431_90434,0.21329639889196675
2438_90975,0.17036011080332408
2438_91540,0.11080332409972299
2441_91100,0.06509695290858725
2441_91746,0.10110803324099722
2441_94749,0.06925207756232687
2441_98122,0.03047091412742381
2441_103769,0.027700831024930747
2441_106148,0.08310249307479223
2441_111561,0.0664819944598338
2441_113367,0.029085872576177285
2441_116433,0.01662049861495843
2441_119910,0.04432132963988919
2441_125778,0.08725761772853186
2441_130740,0.0373961218836565
2441_140313,0.027700831024930747
2441_147727,0.04847645429362882
2441_150529,0.022160664819944595
2451_91489,0.18005540166204986
2451_94926,0.1191135734072022
2451_116164,0.11357340720221606
2451_127924,0.3157894736842105
2451_137549,0.0817174515235457
2451_164214,0.14542936288088643
2464_92235,0.1814404432132964
2468_92542,0.12049861495844874
2468_98528,0.1634349030470914
2468_114697,0.17174515235457063
2468_114701,0.20498614958448752
2468_115960,0.1925207756232687
2468_122234,0.19806094182825484
2468_129551,0.1772853185595568
2468_144039,0.43213296398891965
2468_160019,0.11772853185595568
2471_92679,0.03601108033240996
2471_95234,0.05817174515235457
2471_101712,0.09002770083102493
2471_101717,0.05817174515235457
2471_107289,0.01800554016620498
2471_111398,0.06371191135734072
2480_92985,0.15096952908587258
2480_94848,0.09002770083102493
2480_99015,0.034626038781163423
2480_101626,0.0373961218836565
2480_103680,0.03601108033240996
2480_107832,0.12326869806094182
2480_112484,0.08310249307479223
2480_118171,0.020775623268698057
2480_118201,0.07756232686980609
2480_121049,0.09556786703601108
2480_126644,0.012465373961218829
2480_128696,0.009695290858725766
2480_130152,0.022160664819944595
2480_135650,0.011080332409972304
2480_141087,0.022160664819944595
2480_150421,0.040166204986149576
2480_165620,0.02493074792243767
2482_93118,0.3379501385041551
2482_97409,0.2229916897506925
2482_106168,0.3905817174515235
2492_93410,0.11218836565096953
