book_id,weighted,title
577,0.0451278074234915,强袭魔女
583,0.6536905817277239,菩提树庄的暗狩姬
595,0.0229413381804566,叛红猎杀
60,0.6323276059900159,糖果子弹
643,0.0626009595982822,PiPit!!天线少女
655,0.6838011085152103,simoun 祈舞
657,0.6215717514173896,舞-HiME★DESTINY 龙之巫女
667,0.6975469020667553,野花——在那花不开的世界
677,0.6679482381409103,神明大人会把笑心○○○？
806,0.6546470642917854,红线 绊之记忆
82,0.0081106865392185,七姬物语
894,0.6500614734515417,紫色的Qualia
915,0.6445256315227271,发明工坊 星降日记
929,0.6988733023540733,心生研究社
952,0.0383572166110147,拜托了，莉莉丝
972,0.0078712512342637,如果杜拉(假如高中棒球部的女经理读了德鲁克的《管理学》)
