book_id,vol_id,prob,label
2451,127924,0.3458189,0
2451,137549,0.3495717,1
2451,164214,0.36469325,0
2468,92542,0.3536041,0
2468,98528,0.36231035,0
2468,114697,0.39164338,1
2468,114701,0.36061102,1
2468,115960,0.39238843,0
2468,122234,0.3618498,0
2468,129551,0.381061,0
2468,144039,0.36731195,0
2468,160019,0.3301086,0
2471,92679,0.35118526,1
2471,95234,0.35114208,1
2471,101712,0.3695169,0
2471,101717,0.37157816,1
2471,107289,0.360009,1
2471,111398,0.36854228,0
2541,96151,0.3436381,1
2541,105416,0.3583437,1
2541,113502,0.34892142,0
2541,113625,0.36162907,1
2651,102068,0.38528726,1
2651,103266,0.34632775,1
2651,118252,0.37088624,1
2651,128686,0.35312468,0
2651,129358,0.35270467,1
2651,131330,0.36191118,1
2651,134566,0.43722153,0
2651,145445,0.37510076,0
2685,103754,0.38163653,0
2685,112425,0.40112722,1
2685,151310,0.37134963,1
2734,106844,0.3677823,1
2734,119201,0.33851606,1
2734,138209,0.3239616,0
2756,108273,0.39707434,1
2756,112633,0.36655957,0
2756,118972,0.36061147,0
2756,127015,0.3647239,0
2756,134755,0.38476592,1
2756,135147,0.36851564,0
2756,143520,0.37768677,1
2756,145929,0.41015768,1
2756,159532,0.36827368,0
2756,165934,0.3490488,1
2756,167146,0.4059056,0
2896,116723,0.36047113,0
2896,116915,0.3827861,1
2896,117063,0.35041162,1
2896,117226,0.3740726,0
2896,127444,0.35322383,1
2896,149574,0.34349415,0
2896,154846,0.36925888,1
2997,122164,0.3902539,1
2997,125114,0.36798796,1
2997,125301,0.35370877,0
3542,147412,0.36304107,1
3542,149292,0.46187505,0
3542,157192,0.36095166,0
3542,159751,0.39449412,0
3653,152923,0.3607024,1
3653,153450,0.3613375,0
3653,157261,0.38891873,1
3763,157110,0.34477153,1
3763,161237,0.37202796,0
3763,163631,0.46354434,0
3763,164862,0.337127,0
3885,161743,0.36780718,0
3885,162177,0.41619194,0
3885,164577,0.34432942,1
3885,164584,0.37622032,0
